Client ID,Active customers
CID311021,Texas Juvenile Justice Department
CID311022,Texas Legislative Council
CID311023,Texas Military Department
CID311024,Texas National Guard
CID311025,Texas Parks and Wildlife
CID311026,Texas Procurement Center
CID311027,Texas Racing Commission
CID311028,Texas Real Estate Commission
CID311029,Texas School for the Deaf
CID311031,Texas Starbase Houston
CID311032,Texas State Board of Pharmacy
CID311033,Texas Tech University
CID311034,Texas Water Development Board
CID311035,Texas Youth Commission
CID311036,The Galloway School             
CID311037,The Hanover Company
CID311038,The Hockaday School
CID311039,The Kinkaid School
CID311040,The Lynd Company
CID311041,The New Teacher Project
CID311042,The Post Oak School
CID311043,The Pro-Vision Academy #101-868
CID311044,The Response Group
CID311045,The Village School
CID311046,The Woods Group
CID311047,Tocquigny Design Inc
CID311048,Torah Day School
CID311049,Torchmark Corporation
CID311050,Toshiba International
CID311051,Trane Commercial Systems Ingersoll Rand
CID311052,Transcanada
CID311053,Transocean Offshore Deepwater Drilling Inc.
CID311054,Trident Holdings
CID311055,Trimark
CID311056,Trinity ISD
CID311057,Tubbesing Solution Corporation
CID311058,TX-COMMUNITY CHRISTIAN SCHOOL
CID311059,Tyler ISD
CID311060,Tyler Junior College
CID311061,United Tech
CID311062,Universal Service Administrative Company
CID311063,University of Houston Downtown
CID311064,University of Incarnate Word
CID311065,University of Louisiana at Lafayette
CID311066,University of North Texas
CID311067,University of Texas - Austin
CID311068,University of Texas - UTMB Galveston Medical Bran
CID311069,University of Texas - Permian Basin
CID311070,University of Texas - Tyler
CID311071,University of Texas-Austin-Applied Research(presal
CID311072,University of Texas - Brownsville
CID311073,University of Texas - El Paso
CID311074,University of Texas - Dallas
CID311075,United Services Automobile Association
CID311076,USF St. Petersburg
CID311077,UT Health Science Center
CID311078,UT Health Science Center at Houston
CID311079,UT Health Science Center- San Antonio
CID311080,UT MD Anderson Cancer Center
CID311081,UT Southwestern Moncrief Cancer Center
CID311083,UTP Engine
CID311084,Val Verde Regional Medical Center
CID311085,Valero Energy Corporation
CID311086,Valley IT Solutions
CID311087,Valley View ISD
CID311088,Venus ISD
CID311089,Veritas Christian School
CID311090,ViewPoint Bank
CID311091,ViON Corporation
CID311092,vMonitor LLC
CID311093,VoIP Velocity
CID311094,Ward County
CID311095,Waste Management
CID311096,Waterfield Energy
CID311097,Weatherford International
CID311098,Wellness Wireless
CID311099,"Wells Fargo Equipment Finance, Inc."
CID311100,Wellspan Health Systems
CID311101,Weslaco City Hall
CID311102,West Houston Charter School
CID311103,West ISD
CID311104,West Orange Cove ISD
CID311105,Western Healthcare
CID311106,Westwood ISD
CID311107,"Whataburger Restaurants, LLP"
CID311108,Whole Foods
CID311109,Wildcat Electric Supply
CID311110,Williamson County
CID311111,"Windstream Communications, LLC."
CID311112,Wood Group
CID311113,Woodforest National Bank
CID311114,Wyle's Life Sciences Group
CID311115,Wylie ISD
CID311116,"Yates Fluid Solutions, LLC"
CID311117,Yorktown ISD
CID311118,Ysleta ISD
CID311119,Zapata CISD
CID311120,ZALE CORPORATION
CID311220,1st. Global Capital Corporation
CID311222,Academy
CID311223,Accentcare Inc.
CID311226,All Tex Pipe & Supply
CID311227,Children's Medical Center of Dallas
CID311234,Regents School of Austin
CID311236,United Surgical Partners
CID311237,University of Dallas
"CID320,497",Region 4 Education Service Center
CID320001,CRM Test Account
CID320002,Everhealth
CID320003,Stewart Title
CID320009,Texas Tech University Health Sciences Center - El 
CID320015,Little Elm ISD
CID320017,AAMA / Sanchez Charter School
CID320027,EXPRO US HOLDINGS LLC
CID320031,EOG Resources
CID320047,Houston Astros Inc.
CID320048,IFCO Systems
CID320049,"Indeed, Inc."
CID320054,Kaufman County
CID320057,Lone Star National Bank
CID320060,Northland Community
CID320071,Via Bayou
CID320077,Mc Dermott Intl
CID320079,Dynegy Inc
CID320084,Total SA - TEP Barnett
CID320086,Kirby Corporation
CID320088,Dril Quip Inc
CID320090,"Enterprise Products Operating, LLC"
CID320093,SouthWest Business Corporation
CID320094,Andre Ligon Law Office
CID320096,Amherst ISD
CID320098,Atwood Oceanics Inc.
CID320101,Arbonne International
CID320103,Beauticontrol Inc.
CID320104,Key Government Finance
CID320108,Buckner International
CID320111,Censeo Health
CID320113,Chinquapin Preparatory School
CID320116,Commercial Metals Company
CID320118,County of El Paso
CID320120,Crandall Independent School District
CID320124,ECi Software Solutions
CID320127,Gateway Church
CID320132,Lockhart ISD
CID320136,Neiman Marcus
CID320139,Prestonwood Baptist Church
CID320151,Texas Southmost College
CID320159,Agron
CID320165,Jefferson Bank
CID320166,Frost and Sullivan
CID320167,Trinity River Authority
CID320168,On the Border
CID320170,Thunder Studios
CID320171,Nacogdoches ISD
CID320175,Rio Hondo ISD
CID320176,E3 Alliance
CID320178,Dripping Springs ISD
CID320179,City of Killeen
CID320180,La Vernia ISD
CID320182,Truckmovers.com
CID320183,CST Brands
CID320184,City of Houston Health and Human Services Dept.
CID320185,City of Houston Police Dept
CID320186,Tarrant County Workforce Solutions
CID320187,TAMU - CIO College Of Engineering
CID320188,Zentech Incorporated
CID320192,Gold and Diamond Inc
CID320196,Gainesville ISD
CID320200,Rio Grande City CISD
CID320201,Electronic Arts
CID320202,St John's School
CID320203,City of Webster
CID320205,Tuloso-Midway ISD
CID320206,"EP Energy E&P Company, L.P."
CID320207,Central Texas Medical Center
CID320208,KIPP [DO NOT USE]
CID320210,CenterPoint Energy
CID320211,Uvalde Consolidated Independent School District
CID320212,Chevron Phillips Chemical
CID320214,Jim Hogg County ISD
CID320215,Sugar Grove Christian School
CID320216,City of University Park
CID320217,Sistema
CID320218,"Davaco, Inc"
CID320221,Aledo ISD
CID320222,Burleson ISD
CID320224,Tarrant County MHMR
CID320225,Hill College
CID320226,White Settlement ISD
CID320227,Region 11 Education Service Center
CID320229,Texas Christian TCU
CID320231,Roma ISD
CID320232,Weatherford Independent School District
CID320234,Borger ISD
CID320236,Health and Human Services Commission
CID320241,CALPINE CORPORATION
CID320242,"COFFEYVILLE RESOURCES, LLC"
CID320245,ENI PETROLEUM (AMERICAN AGIP CO)
CID320248,"Exterran Energy Solutions, L.P."
CID320250,Team Industrial Services
CID320251,HUNTSMAN CORPORATION
CID320253,MODEC INTERNATIONAL INC
CID320256,NABORS INDUSTRIES
CID320259,Petroleum Geo Services
CID320262,ROWAN COMPANIES
CID320265,STALLION OILFIELD SERVICE
CID320273,VALLOUREC INC
CID320274,Willbros USA Inc
CID320275,Worley Group Inc
CID320280,FRIEDKIN COMPANIES INC
CID320283,GROUP ONE AUTOMOTIVE
CID320285,Insperity Inc
CID320291,Stage Store
CID320297,Dell Financial Services LLC
CID320303,Dallas Theological Seminary
CID320304,Invesco AVZ Taiwan Location
CID320305,LeTot Center Capital Foundation
CID320306,Cisco Systems EM
CID320307,Harris County Flood Control District
CID320309,Invesco Spain
CID320310,CINNAMON CREEK RANCH
CID320311,Peelle Technologies
CID320313,Integrated Wireless
CID320314,Horiba
CID320317,Wichita County Auditor
CID320319,Mark III Systems
CID320320,Meridian
CID320321,Secured Leasing
CID320322,Harris County Auditor
CID320324,The ECOM Group
CID320328,Seventy Seven Energy
CID320329,Houston Communications Inc
CID320330,Connoco Phillips
CID320332,Hertz
CID320333,"IronForge Systems, Inc"
CID320334,Houston Better Business Bureau
CID320335,Georgetown ISD
CID320336,Texas A&M Engineering Extension Service
CID320337,"Tejas Premier Building Contractor, Inc."
CID320339,Flowserve
CID320341,Pegasus Logistrics Group
CID320342,Cap Gemini
CID320344,SCHREINER UNIVERSITY
CID320345,Harmony Public Schools
CID320346,City of Forney
CID320348,Nacodoches Mermorial Hospital
CID320349,Retirement Villages of America (Tandy and Forrest
CID320350,Omni Hotels
CID320352,Burleson Independent School District
CID320354,City of Allen
CID320355,Higher Dimension Church
CID320356,Oliver McMillan
CID320357,STI Group
CID320358,"American Industries, Co."
CID320359,Thin Blue Line Foundation
CID320360,Saint Raphael Catholic School - El Paso
CID320361,Denton ISD
CID320374,"BUILDERS FIRSTSOURCE, INC."
CID320375,CARDTRONICS
CID320376,CELANESE CORPORATION
CID320380,CONCENTRA HEALTH SERVICES
CID320381,"CONTAINER STORE INC, THE"
CID320385,DR Horton
CID320386,DYNAMEX INC.
CID320388,ELBIT SYSTEMS
CID320393,City of Leander
CID320394,Essilor of America Inc
CID320395,"EXCO Resources, Inc."
CID320396,EXPERIAN PLC (41st Parameter)
CID320398,"Fossil Group, Inc"
CID320399,FREEMAN DECORATING
CID320415,Plains Capital Corporation
CID320418,"RENT-A-CENTER, INC"
CID320425,HEB ISD
CID320429,Thompson & Knight LLP
CID320430,TPG Global
CID320432,TRINITY INDUSTRIES INC
CID320442,Harper Independent School District
CID320443,St. Louis Cardinals
CID320445,Control Panels USA Inc
CID320446,Hutto ISD
CID320450,"Austin Commercial, L.P"
CID320453,AmerisourceBergen Corporation
CID320455,Balfour Beatty
CID320456,BRINKS INC
CID320459,Copart
CID320461,Forward Air
CID320464,HOLLY FRONTIER CORPORATION
CID320465,LENNOX INTERNATIONAL INC
CID320472,Sammons Enterprises
CID320475,Mission Regional Medical Center
CID320476,City of Deer Park
CID320477,AAHYA
CID320478,Texas A&M System
CID320480,Solaris Power Systems LLC
CID320481,Air Liquide
CID320483,Yuma Sun
CID320484,Point Isabel ISD
CID320485,Kinetic Concepts Inc.
CID320486,YUM Brands
CID320487,Superior Fiber And Data Services
CID320488,Houston Forensic Science Center
CID320490,City of Keller
CID320491,Fort Sam Houston ISD
CID320493,Rochester Institute of Technology
CID320496,John Hagee Ministries
CID329091,Giddings ISD
CID329092,Heart of Texas Region MHMR Center
CID329093,Pecos-Barstow-Toyah ISD
CID330006,HID Global
CID330007,Somervell County
CID330008,"StratITsphere Data Center Solutions, LLC"
CID330009,Del Mar College
CID330010,Laredo Police Department
CID330013,Texas Alcoholic Beverage Commission
CID330014,The Breakers of Galveston
CID330015,Christ Fellowship
CID330016,Edcouch Elsa ISD
CID330018,Texas National Bank
CID330019,Texas Regional Bank
CID330020,Brazos County
CID330021,City of Waco
CID330022,University of Houston Clear Lake
CID330023,City of Laredo
CID330025,McKesson Corp
CID330029,Lake Travis ISD
CID330032,LMV Automotive Systems
CID330034,Denton Regional Medical Center
CID330040,City of Cedar Park
CID330041,CPS Energy
CID330042,Santa Maria ISD
CID330044,Corpus Christi Regional Transporation Authority
CID330045,Hempstead ISD
CID330048,Texoma Community Center
CID330049,CIty of Schertz
CID330050,Texas Money Exchange
CID330052,Fairwood Peninsula Energy Corp
CID330053,"Cogent Energy Solutions, LLC"
CID330054,City of Donna
CID330057,Athens ISD
CID330059,Corsicana ISD
CID330065,NetNet
CID330066,Red Oak ISD
CID330069,Waxahachie ISD
CID330078,Ellis County
CID330079,Gregg County
CID330080,Smith County
CID330083,City of Ennis
CID330086,Town of Flower Mound (TX)
CID330089,City of McKinney
CID330092,City of Sachse
CID330095,City of Tyler
CID330097,"C & R Distributing, LLC"
CID330100,Endurance International Group
CID330103,Texas State Technical College Waco
CID330105,Empty
CID330106,Bridgeport ISD
CID330107,Rockwood School District
CID330108,HP
CID330109,Data Express
CID330110,Rosen USA
CID330113,"Honeywell, Inc"
CID330114,North Central Texas College
CID330116,Our Lady of the Lake University
CID330117,City of Hurst
CID330118,Crowley ISD
CID330119,Revention
CID330120,City of Farmers Branch
CID330122,Kennedale ISD
CID330124,A PLUS ACADEMY
CID330127,Anadarko
CID330144,Martin Product Sales LLC
CID330146,Collective Health
CID330147,Repsol Services Company
CID330148,Kendra Scott
CID330152,Francis Howell School District
CID330153,"Cavalry Solutions, LLC"
CID330154,Valley International Airport
CID330155,Brownsville Navigation District
CID330157,"Joeris General Contractors, Ltd."
CID330158,San Marcos Consolidated ISD
CID330159,First Financial Bank
CID330160,University Health System
CID330163,G6 Hospitality
CID330164,"AWC, INC"
CID330166,Nimble Storage
CID330167,Parkway School District
CID330168,TopGolf
CID330169,Mathis ISD
CID330170,Ecopetrol America
CID330171,Parker University
CID330172,Odem-Edroy ISD
CID330173,City of Henderson
CID330175,George West ISD
CID330176,Port Aransas ISD
CID330178,Bishop CISD
CID330181,Preventice Solutions
CID330183,Lubbock ISD
CID330187,AIG Europe Limited
CID330188,Vinmar
CID330189,Wyle - KBR
CID330190,Garza-Gonzalez Charter School
CID330191,Santa Gertrudis ISD
CID330197,CPYI
CID330198,Robstown ISD
CID330199,Webb County
CID330201,Castleberry Independent School District
CID330206,NextLink
CID330207,SmartCom Telephone
CID330209,Kingsville ISD
CID330210,San Felipe Del Rio CISD
CID330211,Idalou ISD
CID330213,Harris County Attorney' Office
CID330214,Rush Enterprises
CID330215,City of Mercedes
CID330216,"EGW Utilities, Inc."
CID330217,Frassati Catholic High School
CID330220,Westlake Chemical Corporation
CID330222,Floresville ISD
CID330223,Saint Louis Public Schools
CID330225,University of Missouri
CID330226,Freer Independent School District
CID330227,ForcePoint / WebSense
CID330229,Mid Valley Academy Charter
CID330230,JPM Communications LLC
CID330231,Blanco ISD
CID330232,Bartlett ISD
CID330233,Burnet ISD
CID330234,Coupland ISD
CID330235,Elgin ISD
CID330236,Region 2 Education Service Center
CID330237,Region 13 Education Service Center
CID330238,Region 8 Education Service Center
CID330239,Riviera ISD
CID330240,Noble Energy
CID330244,Florence ISD
CID330245,Fredericksburg ISD
CID330250,Lago Vista ISD
CID330252,Liberty Hill ISD
CID330253,Llano ISD
CID330254,Luling ISD
CID330259,Schulenburg ISD
CID330260,Smithville ISD
CID330265,GlobalSantaFe South America LLC – Trinidad
CID330267,CornerStone Building Brands
CID330269,Nice Systems
CID330273,Agave Energy Company
CID330274,Olathe Public Schools USD
CID330276,Bandera ISD
CID330281,Crystal City ISD
CID330285,Eagle Pass ISD
CID330286,Falls City ISD
CID330296,Lytle ISD
CID330303,Poth ISD
CID330309,PTW Energy Services
CID330311,Zapata County Public Library
CID330314,Driscoll ISD
CID330315,Agua Dulce ISD
CID330317,"De Lage Landen Financial Services, Inc"
CID330320,QNSI - Burns & McDonald
CID330322,"MEGlobal Americas, Inc."
CID330323,Via Technologies
CID330324,Railroad Commission of Texas
CID330325,"TAG COMMUNICATIONS, L.P."
CID330330,TIPS IONWAVE
CID330332,Region 18 Education Service Center
CID330334,City Of Lakeway
CID330335,All Aboard America Holding
CID330336,Three Rivers ISD
CID330337,City of League City
CID330338,Texas General Land Office
CID330339,Texas Workforce Commission
CID330341,Harland Clarke
CID330343,Tenet Health Care
CID330345,Integris
CID330349,Range Resources
CID330351,KATHERINE ANNE PORTER SCHOOL
CID330352,"Plasma Computing Group, Inc"
CID330354,Cal Atlantic Homes
CID330355,"HCA Healthcare, Inc."
CID330356,City of Amarillo
CID330357,Burns McDonnell
CID330358,Texas United Management
CID330361,Kingdom Builders Church
CID330362,CITY OF NASSAU BAY
CID330364,The Rhodes School
CID330365,Region 19 Education Service Center
CID330366,Workforce Solutions Borderplex
CID330369,Ft. Zumwalt School District
CID330374,TEICC
CID330375,GSCS
CID330379,Region 17 Education Service Center
CID330380,Department of Aging and Disability Services
CID330381,North American Coal Corp.
CID330385,Big State Electric
CID330386,BSG Billing Services Group
CID330387,Aler A Wolf Industries Co.
CID330388,Southwest Texas Junior College
CID330389,JC Communications
CID330390,Raymondville ISD
CID330391,McLane Company
CID330392,Chico ISD
CID330395,Waller ISD
CID330396,Enable Midstream Partners
CID330399,Texas Lottery Commission
CID330400,Devers ISD
CID330402,CDW
CID330403,Plains Cotton Cooperative Association
CID330404,Jasper ISD
CID330405,Nederland ISD
CID330406,Fort Smith Public Schools
CID330407,Austin Film Society
CID330408,Texas Tech Health Science Center - Lubbock
CID330409,Lubbock County
CID330410,Texas Wesleyan University
CID330411,Texas Direct Auto
CID330412,Wallis State Bank
CID330413,Hensel Phelps
CID330414,Columbia-Brazoria ISD
CID330415,Hardin ISD
CID330416,Liberty ISD
CID330417,UT System Administration
CID330418,"Tubes, Inc."
CID330419,Dumas ISD
CID330421,Akiba Academy of Dallas
CID330422,AtlasIED
CID330424,Walker County
CID330425,Ricardo ISD
CID330427,Magnolia ISD
CID330428,United Supermarkets
CID330429,Amarillo College
CID330430,Canyon ISD
CID330431,University Medical Center
CID330433,Frenship ISD
CID330434,Wheaton School District R 3
CID330436,Premont ISD
CID330437,Uvalde County
CID330438,Willis ISD
CID330440,Concho Valley Council of Governments
CID330441,"Axess USA Telecom, LLC."
CID330444,Raytheon
CID330446,City Of Rio Grande
CID330447,Mannai Trading Co WLL
CID330448,Total Technology Solutions
CID330452,Covenant Health Care
CID330453,Trinity Valley Community College
CID330455,Muleshoe ISD
CID330456,Bushland ISD
CID330457,Children's Museum of Brownsville
CID330458,Worth Ave Group
CID330460,"Buc-ee's, LTD"
CID330461,Pedernales Electric Coop
CID330462,Mineral Wells ISD 
CID330463,The Mokaram Law Firm
CID330464,UNIFOCUS
CID330465,Seaboard Marine
CID330466,Teekay Marine Solutions Inc.
CID330467,City of Huntsville
CID330468,Beeville ISD
CID330469,Behavioral Health Center of Nueces
CID330470,Port of Corpus Christi
CID330471,"Thinkwell Group,Inc"
CID330472,FORT WORTH COUNTRY DAY
CID330473,"Argon Medical Devices, Inc."
CID330475,Sonora ISD
CID330476,DDI Leasing Inc
CID330477,Coahoma ISD
CID330478,City of Galveston
CID330479,Raymore-Peculiar School District
CID330480,The Fay School
CID330481,Beckwith Electronic Engineering Company
CID330489,Tulsa Public Schools
CID330492,Oklahoma State University
CID330497,ST THOMAS AQUINAS SCHOOL
CID330498,La Feria ISD
CID330499,CHIRENO ISD
CID330500,SLOCUM ISD
CID330501,TROY ISD
CID330502,DOUGLASS ISD
CID330504,La Gloria ISD
CID330505,HART ISD
CID330508,LAKE TRAVIS COMMUNITY LIBRARY
CID330517,HITCHCOCK INDEP SCHOOL DIST
CID330520,Tolar ISD
CID330525,Texas State Board of Veterinary Medical
CID330527,Smyer ISD
CID330528,La Plaza Mall
CID330529,"Boardwalk Pipeline Partners, LP"
CID330530,Brenham ISD
CID330531,Vizient
CID330533,SANTA FE ISD
CID330534,Austin Convention Center Department
CID330535,YESHIVA TORAT EMET - Sephardic Gan
CID330536,Legacy Christian Academy
CID330537,CLIFTON  ISD
CID330538,Forney ISD
CID330539,Fiberlight
CID330542,Our Lady Queen of Peace Catholic School
CID330544,HAMILTON ISD
CID330545,Parsley Energy
CID330546,"Tero Technologies, Inc."
CID330547,Ensco plc
CID330550,San Isidro ISD
CID330551,StoneGate
CID330552,Minol USA
CID330553,Café Coton Group Inc.
CID330556,McDonald Observatory
CID330557,MeyerPark Elementary Charter School
CID330558,Climatec
CID330559,St. Rita Catholic Community
CID330560,UCLA Health Systems
CID330561,Mission Service Inc.
CID330562,Daybreak Game Company
CID330563,Delicato Family Vineyards
CID330564,Prime Controls Inc.
CID330568,Lindale ISD
CID330569,Anderson-Shiro CISD
CID330584,Madisonville CISD
CID330585,Apache Suriname 58 Corporation LDC
CID330586,Medical City Healthcare
CID330587,City of Seguin
CID330588,BBB Serving North Central Texas
CID330589,Magnolia Montessori for All
CID330591,Jacintoport International LLC
CID330592,Austwell-Tivoli ISD
CID330593,Zoe Learning Academy Inc.
CID330595,Resilient Communications
CID330597,Sarvicus
CID330598,Sun City Cabling LLC
CID330599,Texas A&M AgriLife Research Center
CID330600,"Third Coast Services, LLC"
CID330601,Senior Quality Lifestyles Corporation
CID330602,"International Biblical College , Jerusalem"
CID330603,University of New Mexico
CID330604,TMHP – Texas Medicaid Healthcare Partnership
CID330606,UT Austin AT&T Executive Educ and Conf Center
CID330607,People’s Telephone
CID330608,City of Friendswood
CID330609,GKN Aerospace
CID330612,Gone Virtual Studios
CID330613,Roosevelt ISD
CID330614,Cantu Construction
CID330615,"Generac Power Systems, Inc."
CID330617,M.J. Electric
CID330618,"MAN Diesel and Turbo NA, Inc"
CID330619,Lone Star Legal Aid
CID330620,Brazos ISD
CID330621,Woodville ISD
CID330622,Hyatt Regency Houston
CID330623,Alpha Building Corporation
CID330624,Navarro College
CID330625,Redneck Country Club
CID330626,Scotland County Memorial Hospital
CID330627,Brownsville Police Department
CID330628,City of Fate
CID330629,Unify Energy Solutions
CID330630,"Stericycle, Inc"
CID330631,Florida Traffic Control Devices
CID330632,Webb CISD
CID330633,City of Hillsboro
CID330634,Young Scholars Academy for Excellence
CID330635,Tahoka ISD
CID330636,Randolph Brooks Federal Credit Union (RBFCU)
CID330637,Security Service Federal Credit Union (SSFCU)
CID330638,Christus Health
CID330639,VIA Metropolitan Transit
CID330640,Harmony Public Schools - DFW Cluster
CID330641,Harmony Public Schools Waco
CID330642,Harmony Public Schools Austin
CID330643,Harmony Public Schools Laredo
CID330651,Marfa ISD
CID330656,ST ELIZABETH CATHOLIC SCHOOL
CID330657,ALTO ISD
CID330658,City of Port Arthur
CID330659,American National Insurance Company
CID330661,DEWEYVILLE ISD
CID330663,GILMER ISD
CID330664,Netsync Staff
CID330665,Northwest Audi
CID330670,NTS Communications
CID330671,Headwaters School
CID330672,Hyatt Centric The Woodlands
CID330673,ITsavvy
CID330676,City of South Padre Island
CID330677,"Mid-Tex of Midland, Inc."
CID330678,Compressor Engineering Corp.  CECO Pipeline Servic
CID330679,New Diana ISD
CID330680,Unified Scale
CID330682,Texas Lone Star Network – TLSN
CID330683,Valley Telephone Cooperative – VTX1
CID330684,Consolidated Communications
CID330685,CoBank
CID330686,Texas Department of Agriculture
CID330687,b2DataStream
CID330690,"Rashid, Rice, Flynn & Reilly Eye Associates"
CID330691,District of Columbia Retirement Board
CID330692,East Texas Professional Credit Union
CID330693,Rio Bank
CID330695,City of San Juan
CID330696,Oklahoma City Public Schools
CID330697,Intermountain Electric
CID330701,U.S. Department of Energy
CID330702,Novosad Hayes Associates
CID330703,Vanco Electric
CID330704,American Constructors
CID330705,Studio Red Architects
CID330707,CDO Technologies
CID330708,Harmony Public Schools Plano
CID330709,Accenture - TMHP
CID330711,"PetroSys Solutions, Inc"
CID330713,Brycomm
CID330714,"Appspace, Inc."
CID330715,LINN Energy
CID330716,Frank's International
CID330718,Vanguard Academy
CID330719,Everman ISD
CID330720,Grand Saline ISD
CID330721,City of Abilene
CID330722,Ancora Education
CID330726,Solis Mammography
CID330727,"Enlink Midstream Operating, LP"
CID330728,Overhead Door Corporation
CID330729,Independent Bank
CID330730,Atmos Energy
CID330731,Behavioral Health Group
CID330732,"Elevate Credit Service, LLC"
CID330733,Purple Land Management
CID330735,Interstate Batteries Inc
CID330736,"United Rentals, Inc. (Previous Bakercorp)"
CID330737,Crow Holdings
CID330739,On-Line Strategies
CID330741,"Securus Technologies, Inc."
CID330742,Arthur Temple Sr. Mem. Library
CID330743,"Fulcrum Group, Inc."
CID330744,Apogee
CID330745,Texas Back Institute
CID330746,Mumford ISD
CID330748,Southwest Transplant Alliance
CID330749,Mohr Partners
CID330752,Northridge Construction
CID330753,Gemini Data
CID330754,Extreme Reach
CID330757,Baylor Scott & White Surgical Hospital Fort Worth
CID330758,Baylor Surgical Hospital at Las Colinas
CID330760,Freestone Medical Center
CID330762,King Architectural Metals
CID330763,Ardent Health Services-need update tax exempt
CID330764,Miraca Life Sciences
CID330766,"Pioneer Telephone Cooperative, Inc"
CID330768,Tyco Integrated Security
CID330770,Visiting Nurse Association of TX
CID330771,World Ventures
CID330772,"Wunderman Data Management, LLC"
CID330773,Concho Resources
CID330775,Alliance Family of Companies
CID330776,Town of Little Elm
CID330777,Valley Computer Services
CID330778,Collin County Mental Health Mental Retardation Ctr
CID330779,Crawford ISD
CID330781,Outreach Communications
CID330782,Matagorda Regional Medical Center -need update tax
CID330783,Optimal Blue
CID330785,Sonexus Health
CID330786,Wyndham Jade
CID330787,Allegro Development
CID330788,"Priority Fulfillment Services, Inc. (PFSweb) -tax"
CID330789,AMGH
CID330790,Community Hospital Corporation
CID330791,Global Paradigm LLC
CID330792,"Knowledge Based Systems, Inc."
CID330793,American Airlines Federal Credit Union
CID330794,Inspirus
CID330795,Knowledgebase Marketing Group
CID330797,SHI International Corp
CID330798,"Diodes, Inc"
CID330799,Sandler Partners
CID330800,"Tim Ron Enterprises, LLC"
CID330803,Prestonwood Christian Academy
CID330805,First Liberty
CID330806,MoneyGram International Inc
CID330808,San Antonio Chamber of Commerce
CID330810,Dallas Mavericks
CID330813,NCH Corporation
CID330814,Cantey Hanger
CID330815,National Math & Science Initiative
CID330816,Silsbee ISD
CID330817,Jackson Thornton
CID330819,Windmoeller & Hoelscher Corp
CID330820,Yoakum Community Hospital
CID330822,Texas Emergency Services Retirement System
CID330823,Leidos
CID330824,Christendom College
CID330825,SER-NINOS CHARTER SCHOOL
CID330829,Greenville ISD
CID330830,Canadian EDC
CID330831,ReachLocal
CID330832,Prime Contractors
CID330833,Orangefield ISD
CID330835,"Carlson Capital, LP"
CID330837,"Daktronics, Inc"
CID330839,Academic Partnerships
CID330850,HKS
CID330851,Southern Glazer’s Wine & Spirits
CID330862,Houston Christian High School
CID330864,Rice CONS ISD
CID330865,FSG
CID330866,"JGC America, Inc."
CID330867,Agile Networks
CID330868,Supreme Lending
CID330869,Lyncverse Technologies
CID330870,Vertex Group
CID330871,"Trend Micro, Inc"
CID330872,Hillsboro ISD
CID330873,Brazos School For Inquiry and Creativity
CID330874,Centex Technologies
CID330875,NASA
CID330878,Bonham ISD
CID330880,Blum ISD
CID330886,City of Jacksonville
CID330888,CAPA
CID330890,Spring Fire Department
CID330891,CrowdVision
CID330892,Alvord ISD
CID330905,Johnson County
CID330906,Spring Hill ISD
CID330907,MLN Company
CID330912,REPSOL  INC
CID330924,Laredo Library
CID330925,City of Alamo
CID330926,Texas A&M University San Antonio
CID330927,OneNet
CID330929,Park Hill School District
CID330934,"Corporate Purchasing Source, Inc."
CID330935,San Diego City Employees' Retirement System
CID330936,Drillinginfo
CID330938,Covenant Classical School
CID330940,Brookshires Grocery Company
CID330941,Oncor Electric Delivery Company LLC
CID330943,"E4D Technologies, LLC"
CID330944,City of North Miami Beach
CID330946,"Birch Communications, Inc."
CID330949,Internap Holding LLC
CID330963,United States Army Corp of Engineers
CID330964,DW Distribution
CID330965,AlliantGroup
CID330967,Briteva
CID330968,TGI Fridays
CID330970,Progressive Health
CID330971,"Corsicana Bedding, LLC"
CID330972,Moberly Area Community College
CID330973,RAYCOMMEDIA.COM
CID330974,Briveta
CID330975,Wills Point ISD
CID330977,Brazos County 911
CID330978,Morganti Inc
CID33098,Seneca Resources
CID330981,South Texas Oncology & Hematology
CID330983,TREA - Texas Rural Education Association
CID330985,School of Science and Technology - San Antonio
CID330986,Richardson Chamber of Commerce
CID330988,Magic Valley Electric Cooperative
CID330989,Texas School for the Blind and Visually Impaired
CID330990,Bass Enterprise Companies
CID330991,Cain Watters & Associates LLC
CID330994,Siddons-Martin Emergency Group
CID330995,Parex USA
CID330996,Education Networks of America (ENA)
CID330997,Corpus Christi Housing Authority
CID330998,Universities Space Research Association (USRA)
CID330999,County of Los Angeles ISD
CID33100,La Villa ISD
CID331001,Golden Crescent Regional Planning Commission
CID331003,American College of Emergency Physicians
CID331006,Law Office of Joaquin Jimenez
CID331008,Buffalo Wild Wings
CID33101,Orthofix
CID331011,General Plastics & Composites
CID331012,Western Currency Facility
CID331014,City of Coral Springs
CID331015,The Dallas Foundation
CID331016,Sun Holdings
CID331017,Orange County Transportation Authority
CID331018,Physicians Alliance
CID331019,Long Beach Unified School District
CID33102,Cameron Appraisal District
CID331020,BE A Resource for CPS Kids (BEAR)
CID331021,M&M Manufacturing
CID331022,Nucor Corporation
CID331023,Tustin USD
CID331024,Friona ISD
CID331027,Lubbock Emergency Communication District
CID331030,PASCO COUNTY BOARD OF COUNTY COMMISSIONERS
CID331031,North Central Missouri College
CID331032,TWIN LAKES TELEPHONE COOPERATIVE
CID331033,Carolina Connect
CID331035,Byrne Construction Services
CID33104,Clarendon CISD
CID331040,Florida Department of Transportation
